#id	length	evalue	coverge	probability	score
contig_15:199872..204838#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	1.1e-35	100.0	0.99	115.4
contig_15:199872..204838#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	9.5e-39	100.0	1.0	125.1
contig_15:199872..204838#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	8.7e-102	100.0	1.0	332.4
contig_15:199872..204838#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	7.4e-132	100.0	0.99	431.9
contig_15:199872..204838#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	6.8e-63	100.0	1.0	203.9
contig_15:3043531..3046870#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	119	2.9e-23	100.0	0.95	76.3
contig_15:443617..448244#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	2.8e-61	100.0	1.0	198.7
contig_15:443617..448244#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	3.2e-131	100.0	0.99	429.8
contig_15:443617..448244#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	5.1e-99	100.0	1.0	323.3
contig_15:443617..448244#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	71	1.7e-32	100.0	1.0	105.0
contig_15:443617..448244#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	4.5e-39	100.0	0.99	126.2
contig_15:7315847..7320940#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	3.7e-27	100.0	0.99	87.9
contig_15:7315847..7320940#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	8.9e-29	100.0	1.0	93.3
contig_15:7315847..7320940#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	196	1.9e-91	97.5	0.99	298.6
contig_15:7315847..7320940#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	260	1.1e-123	100.0	1.0	405.0
contig_15:7315847..7320940#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	1.4e-60	100.0	1.0	196.4
contig_15:7636093..7641161#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	4.1e-47	100.0	0.98	153.1
contig_15:7636093..7641161#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	144	1.2e-61	55.3	0.99	201.7
contig_15:7636093..7641161#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	166	2.1e-55	77.8	0.96	181.0
contig_15:7636093..7641161#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	2.7e-23	100.0	0.98	76.0
contig_15:7636093..7641161#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	4.4e-16	100.0	0.96	52.9
contig_15:8355377..8360002#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.5e-42	100.0	0.99	136.6
contig_15:8355377..8360002#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	71	2.4e-32	100.0	0.99	104.6
contig_15:8355377..8360002#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	202	5.8e-100	100.0	0.98	326.4
contig_15:8355377..8360002#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	1.6e-129	100.0	0.99	424.3
contig_15:8355377..8360002#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	2.4e-62	100.0	1.0	202.1
contig_15:8464821..8469780#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	8e-36	100.0	0.99	115.8
contig_15:8464821..8469780#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	9.3e-39	100.0	1.0	125.1
contig_15:8464821..8469780#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	2.1e-101	100.0	1.0	331.1
contig_15:8464821..8469780#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	6e-132	100.0	0.99	432.2
contig_15:8464821..8469780#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	4.5e-63	100.0	1.0	204.5
contig_16:11124648..11130062#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	6.9e-57	100.0	1.0	184.7
contig_16:11124648..11130062#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	1.4e-106	100.0	0.98	349.0
contig_16:11124648..11130062#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	190	2.1e-80	100.0	0.98	262.6
contig_16:11124648..11130062#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	65	1.9e-17	98.6	0.94	57.3
contig_16:11124648..11130062#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	99	1.1e-17	85.6	0.84	58.0
contig_16:11134203..11140086#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	134	3.7e-77	100.0	0.99	250.0
contig_16:11134203..11140086#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RT	262	4e-150	100.0	1.0	492.1
contig_16:11134203..11140086#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-INT	202	2.5e-118	100.0	0.99	386.5
contig_16:11134203..11140086#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-PROT	71	5.3e-35	100.0	1.0	112.6
contig_16:11134203..11140086#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-GAG	90	1.4e-45	100.0	0.99	147.3
contig_16:11847840..11852669#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	103	5.2e-20	100.0	0.88	65.4
contig_16:11847840..11852669#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	3.2e-19	100.0	0.97	63.0
contig_16:11847840..11852669#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	3.6e-76	100.0	0.96	248.8
contig_16:11847840..11852669#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	7.3e-111	100.0	0.97	363.0
contig_16:11847840..11852669#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	126	1.6e-57	100.0	1.0	186.8
contig_16:12289603..12295130#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	107	1.9e-22	100.0	0.88	73.3
contig_16:12289603..12295130#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	1.4e-21	100.0	0.97	70.5
contig_16:12289603..12295130#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	7.7e-76	100.0	0.96	247.7
contig_16:12289603..12295130#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	8.1e-109	100.0	0.96	356.3
contig_16:12289603..12295130#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.2e-58	100.0	1.0	189.0
contig_16:12741874..12746692#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	1.9e-60	100.0	1.0	196.0
contig_16:12741874..12746692#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	1.5e-126	100.0	0.99	414.5
contig_16:12741874..12746692#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	4.3e-91	100.0	1.0	297.5
contig_16:12741874..12746692#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	71	5.7e-26	100.0	1.0	84.1
contig_16:12741874..12746692#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	7.1e-35	100.0	0.99	112.7
contig_16:12838296..12844417#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-PROT	73	1.3e-34	100.0	1.0	111.9
contig_16:12838296..12844417#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-INT	194	1.6e-103	100.0	0.99	337.9
contig_16:12838296..12844417#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-RT	256	6.6e-138	100.0	1.0	452.0
contig_16:12838296..12844417#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-RH	129	3.9e-66	100.0	1.0	214.8
contig_16:12866760..12871510#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	1.7e-12	98.9	0.97	41.4
contig_16:12866760..12871510#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	1.2e-25	100.0	0.98	83.6
contig_16:12866760..12871510#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	196	1.2e-68	100.0	0.96	224.2
contig_16:12866760..12871510#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	3.5e-115	100.0	0.99	377.2
contig_16:12866760..12871510#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.9e-54	100.0	0.99	175.8
contig_16:12943273..12953232#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	143	6.7e-60	44.4	0.98	196.7
contig_16:12943273..12953232#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	55	3.2e-55	21.9	0.92	181.0
contig_16:12943273..12953232#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	98	8e-45	55.7	0.98	146.2
contig_16:12943273..12953232#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	76	1.8e-21	100.0	0.98	70.2
contig_16:12943273..12953232#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	123	1.2e-34	100.0	0.98	112.7
contig_16:13054393..13059572#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	7.3e-28	100.0	0.99	90.1
contig_16:13054393..13059572#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1.3e-31	100.0	1.0	102.4
contig_16:13054393..13059572#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	4.9e-98	100.0	1.0	320.1
contig_16:13054393..13059572#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	260	3.9e-132	100.0	1.0	432.7
contig_16:13054393..13059572#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	3.3e-62	100.0	1.0	201.6
contig_16:13189798..13196783#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	1.6e-18	98.7	0.92	60.5
contig_16:13189798..13196783#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	8.3e-144	100.0	0.99	471.7
contig_16:13189798..13196783#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	114	5.5e-41	71.7	0.98	133.8
contig_16:13189798..13196783#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	1.9e-93	100.0	1.0	304.6
contig_16:13189798..13196783#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.1e-24	100.0	1.0	80.2
